aX,aY,aZ,gX,gY,gZ
0.071,-0.113,0.862,1.404,12.878,10.803
0.071,-0.099,0.888,1.099,7.874,11.780
0.074,-0.108,0.906,0.793,6.226,10.620
0.075,-0.115,0.909,-0.122,9.338,7.996
0.073,-0.120,0.898,-1.648,14.526,5.493
0.072,-0.139,0.882,-2.075,16.418,3.540
0.069,-0.154,0.873,-1.099,15.991,3.601
0.071,-0.152,0.863,-0.061,13.916,6.348
0.070,-0.134,0.869,2.258,9.521,9.888
0.078,-0.112,0.881,5.371,4.700,12.878
0.086,-0.105,0.887,6.958,2.258,14.221
0.088,-0.103,0.893,5.737,2.441,12.329
0.093,-0.103,0.887,0.366,4.211,9.644
0.088,-0.090,0.872,-6.165,7.141,6.409
0.085,-0.104,0.880,-8.362,7.080,3.418
0.080,-0.130,0.905,-7.385,3.784,2.075
0.077,-0.143,0.930,-5.005,1.648,3.052
0.077,-0.150,0.951,-1.648,0.671,5.615
0.077,-0.143,0.966,2.991,0.793,7.874
0.074,-0.120,0.962,7.385,3.235,9.521
0.075,-0.095,0.943,10.559,5.920,10.620
0.080,-0.098,0.931,10.864,5.432,9.460
0.082,-0.108,0.934,7.629,4.028,6.470
0.085,-0.116,0.943,1.648,4.150,3.967
0.082,-0.115,0.953,-3.540,3.906,2.563
0.083,-0.122,0.959,-5.066,3.296,2.441
0.088,-0.128,0.964,-3.723,3.235,2.869
0.087,-0.135,0.974,-0.977,2.930,3.723
0.092,-0.133,0.975,0.916,2.991,4.883
0.097,-0.134,0.971,2.014,3.784,6.226
0.097,-0.137,0.970,2.747,5.066,6.287
-0.660,-0.416,1.956,47.241,-235.413,-31.433
-0.647,-0.464,2.180,70.068,-192.627,-31.982
-0.622,-0.465,2.192,82.886,-136.414,-30.396
-0.589,-0.434,2.064,83.801,-87.830,-30.334
-0.562,-0.414,1.937,80.750,-62.256,-34.058
-0.541,-0.424,1.851,76.172,-62.256,-36.743
-0.513,-0.443,1.892,70.007,-79.956,-36.072
-0.492,-0.493,2.106,58.777,-105.957,-35.217
-0.467,-0.554,2.331,39.307,-124.573,-34.912
-0.454,-0.621,2.503,25.452,-118.286,-33.813
-0.433,-0.624,2.533,23.804,-84.351,-29.602
-0.416,-0.598,2.375,33.997,-40.833,-21.118
-0.388,-0.564,2.156,51.025,-6.836,-12.390
-0.373,-0.522,1.941,58.716,12.024,-5.127
-0.357,-0.478,1.756,51.758,18.494,-0.671
-0.349,-0.449,1.659,38.452,15.320,0.732
-0.344,-0.458,1.644,25.696,5.859,0.488
