aX,aY,aZ,gX,gY,gZ
-0.028,-0.067,1.139,6.226,-16.174,1.343
-0.019,-0.071,1.089,12.451,-8.850,2.502
-0.009,-0.085,1.034,18.005,-4.944,2.136
-0.009,-0.089,0.995,19.348,-3.418,1.282
-0.015,-0.084,0.960,16.724,-4.211,1.160
-0.022,-0.086,0.946,12.512,-7.324,0.732
-0.035,-0.100,0.965,8.423,-12.817,-0.549
-0.039,-0.123,1.001,4.150,-18.494,-1.587
-0.050,-0.127,1.040,0.305,-20.752,-1.282
-0.064,-0.110,1.073,-1.221,-20.935,0.916
-0.070,-0.090,1.093,1.221,-20.264,4.089
-0.071,-0.071,1.104,7.324,-17.517,6.897
-0.072,-0.062,1.098,13.306,-13.428,7.935
-0.068,-0.067,1.079,15.015,-9.644,6.775
-0.060,-0.070,1.050,12.085,-7.080,4.578
-0.056,-0.068,1.023,8.362,-5.432,3.357
-0.053,-0.066,1.006,6.958,-6.104,2.991
-0.050,-0.056,1.000,7.080,-7.690,3.601
-0.045,-0.050,0.998,7.812,-8.667,3.967
-0.047,-0.057,0.998,8.179,-9.338,3.052
-0.060,-0.070,1.002,7.568,-9.338,1.343
-0.077,-0.083,1.022,4.944,-9.888,0.000
-0.086,-0.094,1.050,1.831,-11.353,-0.366
-0.094,-0.099,1.078,0.183,-11.475,-0.122
-0.096,-0.101,1.083,1.221,-8.850,0.244
-0.098,-0.101,1.074,4.456,-4.822,0.610
-0.088,-0.095,1.040,8.484,-0.122,1.221
-0.066,-0.085,0.983,12.207,4.272,2.563
-0.046,-0.083,0.939,15.869,7.141,2.991
-0.031,-0.096,0.911,17.517,6.775,1.892
-0.038,-0.109,0.904,13.916,5.127,-0.122
-0.046,-0.102,0.907,5.737,2.930,-1.770
-0.060,-0.087,0.922,-1.526,-0.061,-2.014
-0.079,-0.076,0.948,-4.272,-3.357,-1.831
-0.083,-0.068,0.965,-2.625,-4.883,-1.404
-0.081,-0.053,0.959,1.892,-3.784,0.122
-0.077,-0.034,0.931,7.568,-0.793,1.587
-0.436,-0.320,2.078,15.198,-57.373,0.366
-0.479,-0.370,2.178,0.732,-38.147,-5.127
-0.533,-0.422,2.236,-7.996,-16.785,-9.827
-0.562,-0.458,2.266,-10.254,-0.854,-13.123
-0.605,-0.487,2.287,-9.521,11.414,-10.864
-0.619,-0.475,2.290,-10.010,22.888,-4.211
-0.623,-0.456,2.278,-11.047,33.325,3.235
-0.607,-0.414,2.224,-13.123,45.166,8.667
-0.590,-0.367,2.135,-14.038,60.547,10.925
-0.586,-0.317,2.007,-13.306,77.026,10.498
-0.550,-0.292,1.843,-10.681,93.628,8.179
-0.516,-0.293,1.688,-6.653,106.995,4.089
-0.464,-0.336,1.523,-8.179,115.601,-1.648
-0.397,-0.395,1.368,-18.127,122.925,-8.972
-0.338,-0.426,1.206,-34.851,132.629,-15.991
-0.278,-0.432,1.016,-51.880,141.846,-20.813
-0.211,-0.493,0.837,-58.716,145.996,-21.912
-0.144,-0.521,0.640,-57.312,146.912,-19.897
-0.098,-0.519,0.392,-51.453,141.602,-15.015
-0.056,-0.502,0.225,-40.222,122.192,-9.521
0.001,-0.454,0.123,-32.043,101.013,-2.563
0.027,-0.327,0.069,-33.569,87.585,7.751
0.035,-0.182,0.035,-42.419,84.106,17.273
0.029,-0.039,-0.010,-58.350,83.191,21.606
0.028,0.078,-0.015,-70.435,78.125,18.494
0.023,0.110,-0.020,-69.153,61.035,15.686
0.037,0.062,0.019,-57.983,40.283,13.977
0.073,-0.048,0.044,-46.631,23.987,10.620
0.134,-0.082,0.173,-37.964,32.593,5.554
0.155,-0.078,0.051,-31.128,60.120,2.930
0.178,-0.094,-0.115,-13.123,74.646,2.930
0.226,-0.084,-0.147,12.390,79.956,6.165
0.255,-0.069,-0.165,20.264,82.092,17.639
0.254,0.078,-0.367,6.714,69.031,33.203
0.279,0.134,-0.364,-0.732,33.936,43.274
0.282,0.123,-0.213,-6.470,-0.305,53.772
0.277,0.115,-0.104,-23.987,-21.118,71.472
0.276,0.388,-0.076,-38.025,-39.795,80.383
0.293,0.438,0.141,-22.278,-61.707,50.232
0.252,0.301,0.444,-3.357,-61.890,17.944
0.234,0.234,0.437,-18.860,-31.250,5.798
0.224,0.241,0.348,-35.706,-1.709,7.935
0.199,0.260,0.232,-27.588,5.005,9.705
0.181,0.201,0.281,-4.456,-15.320,8.240
0.157,0.177,0.428,8.972,-36.682,9.888
0.139,0.206,0.527,2.563,-49.438,12.451
0.099,0.218,0.631,-7.751,-54.688,9.644
0.063,0.169,0.741,-13.000,-58.289,2.563
0.037,0.100,0.847,-13.672,-59.448,-2.625
0.035,0.067,0.934,-11.414,-56.641,-2.808
0.038,0.052,0.984,-3.540,-49.927,0.977
0.042,0.048,1.001,9.583,-39.490,6.287
0.044,0.051,0.994,22.339,-28.931,10.498
0.043,0.064,0.968,29.053,-22.949,10.742
0.044,0.076,0.952,29.358,-21.179,9.155
0.040,0.081,0.959,24.658,-20.935,7.019
0.050,0.063,0.988,17.273,-22.156,3.540
0.038,0.050,1.000,10.498,-23.254,-0.061
0.021,0.046,1.019,8.484,-21.423,-2.869
0.018,0.025,1.030,10.376,-20.020,-3.357
0.016,-0.003,1.050,14.221,-19.653,-3.906
0.007,-0.025,1.061,17.151,-17.944,-4.272
-0.005,-0.043,1.056,17.273,-15.442,-4.089
-0.002,-0.058,1.041,15.991,-13.733,-3.906
0.006,-0.087,1.021,16.235,-13.367,-4.456
0.007,-0.116,1.001,18.250,-13.794,-4.639
0.007,-0.122,0.980,18.921,-14.526,-4.150
0.007,-0.122,0.953,17.517,-16.357,-2.136
-0.002,-0.116,0.953,16.235,-19.165,0.671
-0.021,-0.099,0.979,13.672,-23.682,2.991
-0.032,-0.073,1.009,10.742,-28.442,5.249
-0.045,-0.054,1.050,9.705,-31.433,6.104
-0.058,-0.051,1.089,9.094,-32.043,4.578
-0.073,-0.060,1.109,8.301,-29.724,2.563
-0.085,-0.070,1.106,7.446,-24.170,1.404
-0.087,-0.079,1.078,8.118,-17.029,1.099
-0.091,-0.084,1.041,10.681,-12.695,0.854
-0.088,-0.092,1.001,13.611,-10.681,1.526
-0.083,-0.091,0.982,14.221,-11.658,2.502
-0.080,-0.094,0.984,12.573,-16.296,3.967
-0.081,-0.073,1.002,8.972,-21.301,6.592
-0.093,-0.029,1.035,5.432,-25.024,9.033
-0.107,0.000,1.074,3.784,-27.283,9.033
-0.114,0.004,1.102,4.272,-26.978,6.104
-0.124,-0.011,1.122,5.432,-22.461,2.197
-0.131,-0.036,1.109,5.554,-15.930,-1.038
-0.130,-0.062,1.077,5.798,-9.827,-2.502
-0.123,-0.088,1.048,8.728,-6.653,-3.540
-0.111,-0.114,1.025,12.390,-5.798,-3.174
-0.098,-0.128,1.005,14.099,-5.615,-1.404
-0.090,-0.121,0.989,13.855,-6.226,0.854
-0.090,-0.111,0.978,12.756,-8.118,3.052
-0.099,-0.092,0.987,10.437,-10.681,4.578
-0.107,-0.078,1.003,7.019,-12.939,4.822
-0.109,-0.075,1.017,3.784,-12.573,3.723
-0.111,-0.078,1.018,2.075,-10.193,1.831
-0.111,-0.087,1.015,2.930,-7.324,0.732
-0.104,-0.100,1.007,5.432,-5.920,1.160
-0.094,-0.108,0.993,7.935,-4.578,2.502
-0.084,-0.105,0.961,10.193,-2.808,3.967
-0.069,-0.099,0.919,11.658,-1.404,5.005
-0.068,-0.099,0.886,11.108,-0.305,4.578
-0.060,-0.110,0.850,7.874,0.305,2.930
-0.058,-0.121,0.815,2.319,1.343,0.732
-0.044,-0.139,0.792,-4.089,2.747,-2.258
-0.022,-0.164,0.782,-10.803,1.465,-4.822
-0.000,-0.153,0.785,-16.174,-1.404,-5.066
-0.007,-0.111,0.812,-18.311,-7.507,-3.052
-0.032,-0.083,0.871,-16.418,-17.761,2.075
-0.059,-0.052,0.938,-13.367,-27.039,7.935
-0.084,-0.023,1.002,-11.780,-31.738,11.475
-0.106,-0.013,1.065,-11.292,-30.945,11.047
-0.125,-0.017,1.117,-12.634,-26.367,7.202
-0.130,-0.024,1.124,-16.235,-16.541,1.892
